Product Name,Sentiment,Theme,Customer Star Rating,Feedback Excerpt
Best Sellers Discovery Kit,Negative,Skin Reaction / Sensitivity,5,"Loving the products!. Loving the products so far! I’ve been using them for a week now and notice smoother skin, and a reduction in skin irritation."
Best Sellers Trial Kit Us,Negative,Skin Reaction / Sensitivity,2,Not For Me. Made my skin break out
Birthday Edition Jelly Drops™ Kakadu Plum Mushroom Hyaluronic Acid Serum,Negative,Skin Reaction / Sensitivity,5,Great Canadian product. I tried the sample pack first which I really appreciated. Then I went back for more.
Boost 49 Rosehip Oil Serum,Negative,Skin Reaction / Sensitivity,5,"Love my new Rosehip oil serum!. Very satisfied with the rosehip oil serum , my skin feels hydrated instantly , healthy looking and soft."
Brighten Hydrate Routine,Negative,Skin Reaction / Sensitivity,5,"wonderful eye masks!. Love keeping these in the fridge for an extra cool mask and really love how they dissolve in water, so I know I'm not contributing extra trash for a daily self care item."
Copy Of Superfruit Deluxe Mini,Negative,Skin Reaction / Sensitivity,5,Skin hero is a really.
Day Night Serum Duo,Negative,Skin Reaction / Sensitivity,5,This is a great duo!. This is an excellent duo. I am currently making sure that I am taking care of my skin while at the same time using healthy products.
Dream Bio Retinol Shorea Butter Night Cream 1,Negative,Skin Reaction / Sensitivity,5,The best!!!. I switched from expensive brands to this CANADIAN brand and my skin still looks great at a third of the cost!! I will never buy anything else again!!
Firming Day Night Duo,Negative,Skin Reaction / Sensitivity,5,Firm believer!. Absolutely love this product!! I use it everyday. It has become a staple piece in my skin care routine. I love that this is an all natural brand Canadian owned.
Firming Night Duo 1,Negative,Skin Reaction / Sensitivity,5,"Really impressed so far. I recently switched my entire skin care routine to Three Ships and I’m so glad I did, I’m really impressed so far."
First Light Vitamin C Caffeine Eye Cream,Negative,Skin Reaction / Sensitivity,1,"In the trash. I got a horrible rash on my face, eyes and neck. Had to see my doctor for prednisone and cream. Threw it in the trash"
Fresh Start Lime Pearl Prickly Pear 5 Pha Resurfacing Treatment,Negative,Skin Reaction / Sensitivity,2,Not a fan of this one!. It made my skin tingle and itch!
Give Me More Best Sellers,Negative,Skin Reaction / Sensitivity,5,Great starter kit experience. I’ve been using the trial kit and the products are really great. My skin is clear and glowing. I’m making a switch from Caudalie to these products.
Glow Jojoba Oil Serum,Negative,Skin Reaction / Sensitivity,2,Not recommended for sensitive skin!.
Harmony Cucumber Kombucha Microbiome Balancing Cleanser,Negative,Skin Reaction / Sensitivity,5,Soothing. I have used clinique redness solution for over 25 years. This product is awesome and Canadian. My skin is very sensitive and I didn't get any rashes. My redness is gone.
Hydration Cream Lip Duo,Negative,Skin Reaction / Sensitivity,5,Soft serve. Very upset with the soft serve. No where did I see there was grape seed in the description. Only when I got it and read it on the back of the box there was grape seed. I am very allergic.
Hydration Day Night Duo,Negative,Skin Reaction / Sensitivity,5,Hydrated & Glowing. My skin feels so hydrated and radiant! It’s never looked or felt better since I switched to Three Ships!
Hydration Morning Duo,Negative,Hydration,5,Great products. Really great products! Just the right amount of moisture and no irritation.
Jelly Drops Mushroom Hyaluronic Acid Vitamin C Serum,Negative,Skin Reaction / Sensitivity,5,"Jelly Drops. The Jelly Drop are really thick but I was pleasantly surprised how quickly they absorbed into my skin.  I have used spa serum that made my skin feel itchy, tight, and coated."
Natural Icons Day Night Serum Set,Negative,Skin Reaction / Sensitivity,5,J Walkom. I am very happy with the results I am experiencing from all the products I am using.
Off Duty Sea Algae Bio Peptide Smoothing Biodegradable Eye Masks,Negative,Skin Reaction / Sensitivity,1,Caused irritation over time. This is the first 3 ships product I have bought that did not work for me.
Purify,Negative,Skin Reaction / Sensitivity,5,New favourite product. Absolutely love this product. One pump is all I need. The scent is great and my face feels crash after I use it !!
Radiance Cream Deluxe Mini 10G 6 Pack,Negative,Skin Reaction / Sensitivity,5,"My New Skin Care Superhero’s. Made the switch from LaMer to this fabulous skin care line. Does wonders for my skin, makes it feel fresh and healthy; user for life"
Refresh Papaya Salicylic Acid Cleanser,Negative,Skin Reaction / Sensitivity,5,Powerful!. I normally use the purify gel cleanser but like to switch to the Salicylic Acid cleanser when I am about to start my period. I find it really helps with menstrual breakouts.
Replenish Ceramides Blueberry Barrier Repair Serum,Negative,Skin Reaction / Sensitivity,5,"My favourite of the Three Ships serums. I have now tried Dew Drops, Skin Hero and Replenish. I think this one is my favourite, but I'm still switching back & forth trying to decide."
Restore Ceramides Gotu Kola Barrier Repair Cream,Negative,Skin Reaction / Sensitivity,5,Very happy. Lightweight and hydrating glad I made the switch to this skin care line
Skin Hero Bakuchiol Calendula Bio Retinol Serum,Negative,Skin Reaction / Sensitivity,1,Too strong. Exacerating my eczema. I've tried under and over Dream cream with an skin irritation result.
Superfruit Exfoliating Mask,Negative,Skin Reaction / Sensitivity,1,Made me breakout. I used this mask once and it made me break out all around my chin and mouth. I threw it out.
