Product Name,Sentiment,Theme,Customer Star Rating,Feedback Excerpt
Balance Blush Bronzer,Negative,Skin Reaction / Sensitivity,5,Really like the way this. Really like the way this product looks on my skin tone. I am happy I have switched to cheekbone make up.
Courage Cream Lip And Cheek,Negative,Texture,5,"Excellent feel and look. The texture, color, and feel on the skin were excellent. I have very sensitive skin and I’ve had no irritation."
Empower Eyeliner,Negative,Skin Reaction / Sensitivity,5,I luv my Raven Sustain.
Harmony Lipgloss,Negative,Skin Reaction / Sensitivity,5,My favourite lipgloss!. This is my second time purchasing this lipgloss in Sweetgrass. I bought one a couple of years ago.
Healing Lip Oils,Negative,Price / Value,1,"Horrible!!!. Color is Horrible, Not as described goes all over the place. waste of money and my package was opened"
Refill Pan,Negative,Texture,5,"Versatile, gentle, long-wearing. I use these as both eye-shadow and brow highlighter. Have very reactive skin and constant issues with eyelid irritation."
Starlight Illuminating Primer Stick,Negative,Skin Reaction / Sensitivity,2,. This is a disappointment. The smell is odd. The product itself has some very unhealthy ingredients. It made me get a red burning rash very quickly on my cheekbones unfortunately.
Sustain Lipstick,Negative,Texture,2,"Disappointed. Although I was very grateful to be given the chance to try your lipstick, I wasn't pleased.."
Sustain Lipstick For Future Generations,Negative,Texture,5,"The Perfect Lipstick. Seriously, this is the lipstick I've looked for since I was in my 20s. The shade of burnt orange is idea for me, and impossible to find anywhere else."
Unify Multi Pencil,Negative,Skin Reaction / Sensitivity,5,"Lucky with Number 5 (but also with 3 and 4!). This absolutely matched my skin tone perfectly!!! It went on dreamily and creamily, which was great for blending."
