theme_rank,theme,risk_level,theme_risk_score,theme_severity,total_theme_mentions,reviews_affected,products_affected,average_customer_impact,total_reviews_across_affected_products
1,Skin Reaction / Sensitivity,High,0.8,1.0,239,239,36,0.008,29877
2,Other Feedback,High,0.77,0.3,877,877,55,0.0256,34320
3,Product Performance,Medium,0.3,0.75,118,118,35,0.004,29445
4,Shipping and Handling,Medium,0.29,0.8,98,98,25,0.0036,27300
5,Texture,Medium,0.24,0.5,160,160,42,0.0049,32872
6,Color / Shade,Low,0.19,0.4,5,5,4,0.0046,1079
7,Price / Value,Low,0.11,0.55,29,29,11,0.0021,13906
8,Hydration,Low,0.05,0.5,12,12,8,0.0011,10994
8,Packaging Quality,Low,0.05,0.65,14,14,14,0.0008,17118
9,Scent,Low,0.04,0.45,5,5,5,0.0009,5533
