Product Name,Theme,Customer Star Rating,Feedback Excerpt
Best Sellers Discovery Kit,Skin Reaction / Sensitivity,1,Bad reaction. I unfortunately reacted very poorly to this product. Gave me a rash all over my face and made it burn.
Best Sellers Trial Kit Us,Skin Reaction / Sensitivity,1,"Allergic reaction. Purchase the 4 sample kit, day 1 used the cleanser, the first serum and then moisturizer. Later that evening my eyes started burning."
Birthday Edition Jelly Drops™ Kakadu Plum Mushroom Hyaluronic Acid Serum,Skin Reaction / Sensitivity,1,Did nothing! Not worth the $. Did nothing for my skin! Not hydrating and made me break out
Boost 49 Rosehip Oil Serum,Skin Reaction / Sensitivity,2,"Ok oil but not for sensitive eyes. I used this product to replace far more expensive oil from another company, and sadly, I almost immediately had a reaction."
Bright Side Brightening Eye Routine Kit,Skin Reaction / Sensitivity,1,"Irritated under eyes. I’m so sad this product didn’t work out for me, I had high hopes."
Bright Tight Biodegradable Eye Mask Quartet,Product Performance,3,"Don't stay still. It's a good product, I like the composition but it's not practical because you can't do other things during the treatment."
Brighten Firm Routine,Packaging Quality,3,"Beautifully Designed, but Broken Pump. I LOVE the feeling of these products on my skin. After a week of using I'm noticing a more nourished look to my face."
Brighten Hydrate Routine,Texture,2,"Not for me. Found these eye pads slide down my cheeks, and it’s worse when my face is freshly washed. As for dissolving in water, it didn’t happen."
Day Night Eye Cream Duo 1,Shipping and Handling,5,"EyeHero. Wish I could tell you , as I paid for an order over $200. through Pay Pal and I still have NOT received it ! Please sent it !!! Jeannette LeBlanc , [address removed]."
Dream Bio Retinol Shorea Butter Night Cream 1,Skin Reaction / Sensitivity,1,"Not a Dream dream for me. Didn’t work for me. I loved the restore cream and since running out thought I’d try this. This one caused a reaction, my face heated up and was swollen and puffy."
Eye Hero Bio Retinol Smoothing Eye Cream,Skin Reaction / Sensitivity,1,Disappointed. I really wanted to love this product because of the ingredients listed but when I tried it immediately after a few min my eyes started to itch and water .
Firm Believer Goji Stem Cell Pomegranate Smoothing Neck Face Cream,Skin Reaction / Sensitivity,1,Wanted to like this but. The ingredients are awesome but this cream made my face burn and break out in a rash. I gave it to my husband and his face did the same.
Firm Believer Sample Sachet,Texture,1,Too sticky. Not for me!
Firm Brighten Duo,Skin Reaction / Sensitivity,2,Love one and don’t love the other.. Love Skin Hero. It leaves my skin feeling amazing and after a while using it I can definitely see some positive changes in my skin.
Firming Night Duo 1,Product Performance,3,Eye serum. It's good to have a product for around the eyes but so far I have not noticed any difference in my undereye puffiness.
